index,starts,goals,Cost,Cost_var,Cost_mean,Cost_std,Computation time,Computation time_var,Computation time_mean,Computation time_std
0,"[(6, 1), (5, 20), (1, 21), (0, 21), (4, 20), (0, 20), (4, 21), (1, 20), (8, 21)]","[(1, 20), (6, 0), (3, 1), (2, 0), (5, 0), (0, 1), (7, 1), (4, 0), (7, 0)]",243,0.0,243.0,0.0,0.044027846999999995,0.0,0.044027846999999995,0.0
1,"[(4, 0), (1, 20), (2, 20), (5, 20), (4, 21), (6, 20), (8, 21), (0, 20), (0, 21)]","[(4, 20), (6, 1), (7, 0), (3, 1), (6, 0), (4, 0), (3, 0), (4, 1), (0, 1)]",288,8.47457627118644,265.5,22.5,0.090172694,34.384993276591935,0.0671002705,0.0230724235
2,"[(3, 0), (2, 21), (5, 21), (0, 21), (6, 21), (8, 21), (1, 20), (6, 20), (7, 20)]","[(5, 20), (7, 0), (4, 1), (0, 0), (6, 1), (2, 0), (3, 1), (6, 0), (4, 0)]",342,13.907976869311382,291.0,40.47221268969612,0.12925023200000002,39.664048693597024,0.08781692433333334,0.03483174762879259
3,"[(7, 1), (3, 20), (0, 20), (2, 21), (0, 21), (5, 21), (1, 20), (3, 21), (1, 21)]","[(2, 21), (4, 1), (8, 1), (7, 1), (5, 0), (6, 1), (0, 1), (5, 1), (2, 1)]",261,13.1851172427271,283.5,37.379807383131336,0.14725187199999998,38.61873221371214,0.10267566125,0.0396520386667957
4,"[(2, 0), (7, 21), (3, 20), (0, 20), (8, 20), (2, 21), (1, 20), (2, 20), (3, 21)]","[(6, 21), (8, 1), (7, 0), (1, 1), (5, 1), (3, 0), (1, 0), (7, 1), (5, 0)]",324,12.740597185524871,291.6,37.15158139299053,0.203980577,43.80331139183405,0.1229366444,0.05385032116120372
5,"[(1, 0), (6, 21), (7, 20), (4, 21), (4, 20), (3, 21), (2, 21), (0, 20), (2, 20)]","[(0, 21), (0, 1), (1, 1), (6, 1), (4, 1), (3, 0), (1, 0), (8, 1), (2, 1)]",297,11.61512990041654,292.5,33.974254958718376,0.12513139699999998,39.873662168190926,0.1233024365,0.04916519697515814
6,"[(0, 0), (6, 20), (4, 20), (8, 20), (2, 21), (0, 20), (1, 20), (0, 21), (2, 20)]","[(5, 21), (3, 0), (6, 1), (8, 0), (4, 0), (8, 1), (1, 0), (7, 1), (4, 1)]",270,11.208462411483104,289.2857142857143,32.42448054750469,0.295999261,51.12815613097828,0.14797341142857143,0.07565607682753486
7,"[(4, 0), (3, 21), (1, 20), (1, 21), (7, 21), (0, 21), (4, 21), (5, 21), (5, 20)]","[(7, 21), (5, 1), (0, 0), (1, 0), (7, 1), (3, 1), (6, 0), (7, 0), (8, 1)]",243,11.983864182969445,283.5,33.974254958718376,0.041356685000000004,58.72222877559435,0.13464632062499998,0.07906732043533278
8,"[(2, 0), (8, 20), (6, 21), (6, 20), (2, 21), (8, 21), (0, 21), (7, 20), (0, 20)]","[(0, 21), (0, 1), (0, 0), (8, 1), (3, 1), (5, 1), (3, 0), (6, 0), (4, 0)]",306,11.469384242557151,286.0,32.802438933713454,0.06413833099999999,61.326152652717134,0.12681209955555556,0.07776898175555563
9,"[(5, 0), (0, 21), (3, 20), (5, 21), (4, 21), (6, 21), (8, 21), (1, 21), (6, 20)]","[(2, 21), (6, 0), (0, 0), (2, 0), (2, 1), (3, 1), (5, 1), (1, 0), (5, 0)]",270,11.071427648440443,284.4,31.48714023216462,0.08824000800000004,60.73779445153511,0.1229548904,0.07468008859926227
10,"[(1, 0), (3, 21), (2, 20), (0, 20), (7, 20), (6, 21), (8, 21), (5, 20), (4, 21)]","[(7, 20), (8, 0), (5, 1), (8, 1), (4, 0), (2, 0), (5, 0), (6, 1), (1, 1)]",279,10.588572375143421,283.90909090909093,30.061919570520825,0.354468693,67.68441098124805,0.14400159972727275,0.09746663457897906
11,"[(8, 0), (2, 20), (0, 20), (4, 21), (1, 21), (7, 20), (4, 20), (8, 20), (3, 21)]","[(5, 20), (6, 0), (7, 0), (3, 1), (0, 1), (1, 0), (8, 0), (5, 0), (4, 0)]",252,10.703270528207721,281.25,30.102948360584218,0.103189965,66.85350311009053,0.14060063016666668,0.09399644666127939
12,"[(5, 0), (3, 20), (3, 21), (1, 21), (6, 21), (7, 20), (0, 21), (1, 20), (7, 21)]","[(3, 21), (3, 0), (7, 1), (2, 1), (3, 1), (5, 0), (8, 0), (4, 1), (0, 0)]",405,15.084794344244912,290.7692307692308,43.86194047788136,0.31079432999999995,65.75249519369349,0.15369245323076924,0.10105662292363117
13,"[(6, 1), (0, 21), (5, 21), (4, 20), (7, 21), (1, 20), (6, 21), (7, 20), (0, 20)]","[(7, 21), (8, 0), (7, 1), (3, 1), (2, 1), (4, 0), (7, 0), (1, 1), (6, 1)]",,15.084794344244912,290.7692307692308,43.86194047788136,0.548907069,77.43126965219008,0.18192206864285715,0.14086456752769305
14,"[(0, 1), (0, 20), (8, 21), (7, 20), (6, 20), (4, 20), (5, 21), (1, 21), (5, 20)]","[(8, 20), (4, 0), (5, 1), (4, 1), (5, 0), (7, 1), (6, 1), (2, 1), (0, 1)]",279,14.61565720414811,289.92857142857144,42.37496613688371,0.06965168399999999,79.65022972335868,0.17443737633333337,0.13893977097289972
