index,starts,goals,Cost,Cost_var,Cost_mean,Cost_std,Computation time,Computation time_var,Computation time_mean,Computation time_std
0,"[(5, 0), (2, 21), (6, 21)]","[(8, 21), (5, 0), (0, 0)]",89,0.0,89.0,0.0,1668678047.0035684,0.0,1668678047.0035684,0.0
1,"[(8, 0), (3, 21), (6, 21)]","[(1, 21), (2, 0), (3, 0)]",90,0.5586592178770949,89.5,0.5,1668678047.1063063,3.0784219812891295e-09,1668678047.0549374,0.05136895179748535
2,"[(5, 0), (4, 21), (3, 21)]","[(5, 21), (3, 0), (1, 0)]",86,1.9241583070161452,88.33333333333333,1.699673171197595,1668678047.1261287,3.219096378283867e-09,1668678047.0786679,0.05371635457872736
3,"[(7, 0), (2, 21), (3, 21)]","[(1, 21), (0, 0), (3, 0)]",87,1.7967486705502158,88.0,1.5811388300841898,1668678047.133142,3.1257208510697874e-09,1668678047.0922866,0.05215821765518772
4,"[(8, 0), (0, 21), (2, 21)]","[(8, 21), (4, 0), (6, 0)]",88,1.6070608663330628,88.0,1.4142135623730951,1668678047.1785383,3.477193805742437e-09,1668678047.109537,0.05802316969187669
5,"[(5, 0), (5, 21), (0, 21)]","[(8, 21), (2, 0), (0, 0)]",85,1.9518001458970664,87.5,1.707825127659933,1668678047.1995494,3.757274641049454e-09,1668678047.1245391,0.06269681710536958
6,"[(0, 0), (2, 21), (8, 21)]","[(6, 21), (4, 0), (3, 0)]",92,2.531685470310099,88.14285714285714,2.2314999074019015,1668678047.2293935,4.115246915193029e-09,1668678047.1395183,0.06867022185941231
7,"[(1, 0), (1, 21), (2, 21)]","[(1, 21), (7, 0), (6, 0)]",87,2.4105912994995937,88.0,2.1213203435596424,1668678047.3101006,5.12330280442371e-09,1668678047.160841,0.08549142918699416
8,"[(4, 0), (4, 21), (6, 21)]","[(3, 21), (4, 0), (7, 0)]",87,2.3035230288607584,87.88888888888889,2.0245407953653998,1668678047.275731,5.292797026124439e-09,1668678047.1736064,0.088319742056396
9,"[(4, 0), (0, 21), (2, 21)]","[(3, 21), (6, 0), (3, 0)]",92,2.5849857781457137,88.3,2.2825424421026654,1668678047.3598115,6.034823851505875e-09,1668678047.192227,0.10070178079679896
10,"[(4, 0), (1, 21), (6, 21)]","[(1, 21), (8, 0), (3, 0)]",90,2.5216534730493927,88.45454545454545,2.2305171175245992,1668678047.280323,5.950776478062854e-09,1668678047.2002356,0.09929930072739018
11,"[(7, 0), (3, 21), (2, 21)]","[(4, 21), (3, 0), (0, 0)]",84,2.798524022279856,88.08333333333333,2.465033242958173,1668678047.405008,6.630550767569101e-09,1668678047.2172997,0.11064254506802376
12,"[(2, 0), (7, 21), (6, 21)]","[(2, 21), (7, 0), (5, 0)]",80,3.660273007332421,87.46153846153847,3.2013310841053557,1668678047.3614824,6.773738375265098e-09,1668678047.2283907,0.11303188524473375
13,"[(5, 0), (0, 21), (1, 21)]","[(8, 21), (6, 0), (1, 0)]",84,3.681861882553484,87.21428571428571,3.211109541855574,1668678047.4394403,7.294929591891639e-09,1668678047.2434657,0.12172888866176314
14,"[(0, 0), (1, 21), (4, 21)]","[(6, 21), (2, 0), (1, 0)]",87,3.55812730220798,87.2,3.1026870075253585,1668678047.9266038,1.2407744352659991e-08,1668678047.2890084,0.20704530617657893
15,"[(5, 0), (1, 21), (2, 21)]","[(2, 21), (5, 0), (4, 0)]",90,3.524659512090106,87.375,3.07967124868873,1668678047.9955773,1.5791919851067667e-08,1668678047.333169,0.263516299807215
16,"[(0, 0), (0, 21), (5, 21)]","[(2, 21), (3, 0), (0, 0)]",89,3.4435419272339223,87.47058823529412,3.0120863798804955,1668678048.1151469,1.8875807278865353e-08,1668678047.3791676,0.3149764523280251
17,"[(4, 0), (8, 21), (4, 21)]","[(5, 21), (1, 0), (4, 0)]",93,3.6335949606094493,87.77777777777777,3.1894889098682944,1668678048.0210266,2.0350266812785508e-08,1668678047.4148264,0.33958043489529666
18,"[(7, 0), (6, 21), (4, 21)]","[(6, 21), (3, 0), (2, 0)]",87,3.543864544149232,87.73684210526316,3.109274839524616,1668678048.0193143,2.1395551315720914e-08,1668678047.4466417,0.357022867935616
